#TOP	Genes more expressed in NGT class
#BOTTOM	      Genes more expressed in DM2/IGT class
217141_at	1.9581245184
201310_s_at	1.957775712
202717_s_at	1.9571877718
202592_at	1.9571249485
210479_s_at	1.9558101892
203613_s_at	1.9555686712
200998_s_at	1.9554485083
221739_at	1.9550704956
221077_at	1.9542188644
221588_x_at	1.9538677931
208866_at	1.9534560442
220643_s_at	1.9525563717
33197_at	1.9521875381
221791_s_at	1.9513370991
218899_s_at	1.9512910843
220742_s_at	1.9511746168
213021_at	1.9511620998
209054_s_at	1.9508886337
216747_at	1.9493027925
205074_at	1.9492810965
214899_at	1.9486738443
213700_s_at	1.9479160309
218227_at	1.9464272261
201754_at	1.9462138414
222128_at	1.9453269243
212848_s_at	1.9443637133
204103_at	1.9426423311
219848_s_at	1.9421461821
220248_x_at	1.9419567585
218785_s_at	1.94191432
208476_s_at	1.9411296844
218646_at	1.9409592152
201019_s_at	1.9397168159
203033_x_at	1.9377231598
218316_at	1.9372001886
219325_s_at	1.9361999035
205022_s_at	1.9357943535
204956_at	1.9357444048
206495_s_at	1.9353657961
212548_s_at	1.9351414442
218095_s_at	1.9318447113
213985_s_at	1.9306215048
219395_at	1.9284559488
205604_at	1.9284055233
201594_s_at	1.9249030352
209269_s_at	1.9247683287
220597_s_at	1.9240628481
209942_x_at	1.9231684208
200081_s_at	1.9220130444
214441_at	1.9211760759
219808_at	1.921054244
218351_at	1.9201204777
206729_at	1.9197995663
220029_at	1.9193564653
205185_at	1.9188630581
204093_at	1.9188420773
206104_at	1.9183977842
218372_at	1.9177031517
211843_x_at	1.9172215462
214838_at	1.9164297581
221536_s_at	1.9163843393
202548_s_at	1.9160861969
218896_s_at	1.916046381
214938_x_at	1.915638566
204913_s_at	1.9153050184
45526_g_at	1.9143680334
210302_s_at	1.9139585495
211974_x_at	1.9133422375
204079_at	1.913271904
205094_at	1.9123361111
202031_s_at	1.9105761051
218654_s_at	1.9103076458
210636_at	1.9102989435
218155_x_at	1.9092350006
209413_at	1.9089442492
51200_at	1.9082707167
209290_s_at	1.9081388712
221940_at	1.9062675238
200067_x_at	1.905521512
202737_s_at	1.9054816961
215810_x_at	1.9027178288
204114_at	1.9009240866
218485_s_at	1.9001543522
218391_at	1.9000183344
202544_at	1.8996361494
207455_at	1.8990786076
218370_s_at	1.899056077
208366_at	1.8983968496
216664_at	1.8983339071
208830_s_at	1.8980939388
209484_s_at	1.897515893
44783_s_at	1.8973761797
216528_at	1.8968681097
222098_s_at	1.8950324059
204881_s_at	1.8946640491
220046_s_at	1.8946425915
201987_at	1.8940900564
218127_at	1.8938128948
213138_at	1.8930720091
205695_at	1.8928525448
204380_s_at	1.8927243948
209716_at	1.8922911882
211872_s_at	1.8922795057
208179_x_at	1.8909164667
214312_at	1.8908445835
216677_at	1.8905977011
207954_at	1.8892234564
201973_s_at	1.8892056942
215343_at	1.8884152174
200056_s_at	1.8877472878
217810_x_at	1.8863959312
206345_s_at	1.8860167265
211002_s_at	1.885571599
39966_at	1.884953022
218765_at	1.8837639093
205986_at	1.8836547136
205608_s_at	1.8833998442
201672_s_at	1.8830999136
209361_s_at	1.8827946186
206233_at	1.882615447
209435_s_at	1.8819485903
220146_at	1.8819314241
215417_at	1.8818427324
205130_at	1.8818380833
201766_at	1.8817685843
203688_at	1.8816862106
205062_x_at	1.880616188
214508_x_at	1.8785672188
209745_at	1.8769295216
213666_at	1.8769054413
215691_x_at	1.8765099049
48580_at	1.8764936924
201944_at	1.875820756
213545_x_at	1.874689579
